ID_Cachorro,Nombre,Dias,Raza,Reservado,Genero
275,Inessa,114,Caniche,NO,H
277,Alfy,182,Chihuahua,NO,H
279,Normand,595,Rottweiler,SI,H
280,Gaven,281,Pitbull,SI,H
282,Sergeant,149,Chihuahua,SI,H
284,Madelina,493,Rottweiler,SI,H
286,Ewell,658,Border Collie,NO,H
288,Donaugh,617,Border Collie,NO,H
289,Beryle,422,Labrador,NO,H
290,Fayre,486,Callejero,SI,H
291,Almira,161,Ovejero,NO,H
294,Godart,317,Rottweiler,NO,H
295,Meade,127,Bulldog,NO,H
296,Rustie,120,Rottweiler,NO,H
297,Una,409,Bulldog,SI,H
298,Nobie,655,ChowChow,NO,H
300,Biron,605,Ovejero,SI,H
301,Jessi,582,Callejero,SI,H
304,Ansel,495,Pitbull,SI,H
307,Denys,663,Ovejero,SI,H
311,Cosetta,676,Boxer,NO,H
314,Dasie,485,Jack Russell,SI,H
315,Kellie,360,Bulldog,SI,H
316,Joy,597,Chihuahua,SI,H
317,Ase,535,Shih Tzu,SI,H
319,Willyt,418,Jack Russell,SI,H
323,Pedro,598,Caniche,NO,H
326,Stella,536,Caniche,SI,H
329,Ced,298,Rottweiler,NO,H
333,Harriott,528,Pug,SI,H
334,Gustavus,337,Callejero,NO,H
340,Rozalin,556,Boxer,NO,H
342,Caritta,655,Callejero,NO,H
343,Sutherlan,498,Jack Russell,SI,H
348,Noland,611,Callejero,NO,H
350,Dennis,188,Bulldog,NO,H
353,Roosevelt,698,Boxer,NO,H
357,Alvinia,544,Labrador,SI,H
358,Cos,418,Ovejero,NO,H
360,Kessia,706,Coquer,NO,H
361,Marchelle,48,Pitbull,SI,H
364,Fred,288,Boxer,NO,H
365,Rancell,261,Coquer,NO,H
368,Hilary,607,Pug,NO,H
369,Clarita,365,Pug,NO,H
371,Florentia,314,Jack Russell,NO,H
373,Hermy,238,Ovejero,SI,H
374,Willey,84,Ovejero,SI,H
378,Beth,586,Pug,NO,H
382,Terri,344,Bulldog,SI,H
383,Margalo,411,Pug,SI,H
385,Miguel,214,ChowChow,SI,H
386,Olivia,227,Callejero,SI,H
390,Velma,293,Caniche,NO,H
392,Valeda,470,ChowChow,SI,H
393,Mavra,225,Coquer,NO,H
395,Glenn,519,Border Collie,NO,H
396,Ellsworth,511,Jack Russell,SI,H
401,Fee,279,Ovejero,SI,H
402,Isabeau,198,Chihuahua,NO,H
403,Lonna,504,Pug,NO,H
404,Nobe,470,Callejero,NO,H
405,Kingston,267,Jack Russell,NO,H
406,Celinka,497,Shih Tzu,NO,H
407,Ileane,91,Boxer,SI,H
409,Mercedes,104,Jack Russell,SI,H
412,Gregor,478,Chihuahua,SI,H
416,Rosy,417,Jack Russell,SI,H
419,Shandee,69,Pug,SI,H
422,Amber,49,Shih Tzu,SI,H
423,Pammy,419,Border Collie,SI,H
424,Darren,538,Caniche,NO,H
425,Imogen,111,Ovejero,NO,H
427,Cornelia,366,Jack Russell,NO,H
429,Ardyce,654,Rottweiler,SI,H
432,Lanni,53,Border Collie,NO,H
433,Frazer,89,Pug,NO,H
434,Maxine,46,Labrador,SI,H
436,Berri,78,Bulldog,SI,H
437,Corny,650,Ovejero,NO,H
442,Cody,670,Bulldog,SI,H
443,Brandtr,670,Callejero,NO,H
445,Peggy,412,Shih Tzu,NO,H
446,Emmanuel,268,ChowChow,SI,H
449,Shanon,309,Pitbull,SI,H
450,Melisse,660,Shih Tzu,NO,H
453,Reena,121,Bulldog,NO,H
456,Frederico,45,Callejero,SI,H
457,Hyacinthe,185,Jack Russell,NO,H
458,Corny,549,Border Collie,NO,H
459,Michale,231,Bulldog,NO,H
461,Joseito,388,Coquer,SI,H
465,Quillan,102,Pitbull,NO,H
467,Rici,73,Bulldog,NO,H
468,Mallory,587,Pitbull,NO,H
470,Aundrea,580,Jack Russell,NO,H
473,Lance,507,Shih Tzu,SI,H
475,Jade,458,Pitbull,SI,H
476,Doti,547,Chihuahua,SI,H
479,Dulce,130,Ovejero,NO,H
482,Ronald,489,Labrador,SI,H
484,Pietra,424,Pitbull,NO,H
485,Morse,377,Pug,NO,H
486,Hilary,193,Border Collie,NO,H
487,Neall,420,Chihuahua,NO,H
488,Cozmo,214,Callejero,SI,H
490,Dev,445,Rottweiler,NO,H
491,Astrid,624,ChowChow,NO,H
492,Derby,632,Coquer,NO,H
494,Lorraine,106,Caniche,NO,H
495,Darwin,689,Border Collie,NO,H
496,Vickie,546,Boxer,SI,H
497,Mannie,324,Labrador,SI,H
500,Pauli,452,Pug,NO,H
503,Lorilyn,175,Jack Russell,SI,H
507,Aida,63,ChowChow,NO,H
508,Meghan,103,ChowChow,NO,H
509,Hugo,617,Rottweiler,SI,H
512,Lenette,612,Border Collie,NO,H
515,Bendite,405,Coquer,SI,H
516,Annelise,352,Jack Russell,NO,H
517,Elle,490,ChowChow,SI,H
518,Batsheva,658,Ovejero,SI,H
519,Esmeralda,607,Bulldog,SI,H
520,Merci,263,Boxer,NO,H
524,Carma,209,Rottweiler,SI,H
526,Gwenette,132,Jack Russell,SI,H
529,Garrick,148,Pitbull,SI,H
530,Chalmers,155,ChowChow,NO,H
531,Jard,342,Pitbull,SI,H
532,Beverlie,648,Pug,NO,H
535,Zeke,279,Rottweiler,SI,H
536,Baird,622,Chihuahua,NO,H
540,Brunhilda,605,Pug,SI,H
545,Osbourne,109,Rottweiler,SI,H
547,Jessamine,716,Labrador,SI,H
548,Meyer,159,Pitbull,NO,H
550,Karna,644,Bulldog,NO,H
551,Edna,617,Bulldog,SI,H
552,Ramonda,346,Rottweiler,NO,H
555,Corbie,476,Border Collie,SI,H
556,Nehemiah,383,Border Collie,SI,H
557,Justis,587,Ovejero,NO,H
558,Isaak,679,Callejero,SI,H
559,Zara,647,Coquer,SI,H
560,Lars,238,Rottweiler,SI,H
561,Tyler,440,Pug,SI,H
563,Skyler,266,Labrador,SI,H
566,Gabi,150,Jack Russell,SI,H
570,Alasdair,451,Ovejero,SI,H
571,Jakie,184,Coquer,NO,H
576,Ky,443,Rottweiler,SI,H
577,Olympe,299,Labrador,NO,H
579,Emanuel,284,Rottweiler,NO,H
581,Jenn,658,ChowChow,NO,H
583,Beckie,297,Coquer,SI,H
584,Beauregard,706,Boxer,SI,H
585,Celisse,570,Chihuahua,SI,H
586,Carly,217,ChowChow,NO,H
589,Evered,546,Pug,NO,H
590,Luca,194,Boxer,NO,H
591,Ruthe,411,Rottweiler,SI,H
596,Archibold,560,Boxer,NO,H
600,Tiffie,672,Rottweiler,NO,H
603,Letty,669,Labrador,SI,H
605,Sidoney,345,Ovejero,SI,H
608,Aldridge,349,Pitbull,SI,H
609,Larissa,131,Coquer,NO,H
611,Preston,119,Shih Tzu,SI,H
612,Candace,569,Shih Tzu,NO,H
615,Zacherie,723,Chihuahua,SI,H
616,Chad,114,Jack Russell,NO,H
618,Robinson,140,Pitbull,SI,H
620,Morris,329,Shih Tzu,SI,H
621,Kati,364,Coquer,NO,H
622,Neall,500,Jack Russell,SI,H
625,Nannette,708,Labrador,NO,H
626,Gennifer,346,Border Collie,SI,H
627,Marlow,426,Chihuahua,SI,H
631,Roddy,285,Shih Tzu,SI,H
632,Nikolos,526,Coquer,SI,H
633,Kinsley,711,ChowChow,NO,H
635,Maurizio,570,Bulldog,NO,H
638,Adrianna,686,Pug,SI,H
639,Nan,381,Pitbull,SI,H
640,Cobb,481,ChowChow,NO,H
644,Leelah,268,Boxer,SI,H
646,Enrika,424,Callejero,NO,H
647,Miguel,672,Coquer,SI,H
648,Larina,587,Jack Russell,NO,H
649,Ruddie,193,Labrador,SI,H
650,Melesa,600,Jack Russell,NO,H
651,Pieter,214,Labrador,NO,H
658,Sascha,132,ChowChow,NO,H
662,Orren,547,Ovejero,NO,H
667,Clio,250,Bulldog,SI,H
669,Lew,446,Jack Russell,SI,H
672,Mela,420,Coquer,SI,H
677,Franny,218,Jack Russell,NO,H
679,Regina,616,Border Collie,NO,H
683,Ichabod,529,Coquer,NO,H
686,Dom,564,Coquer,SI,H
687,Jodi,325,ChowChow,NO,H
689,Basilius,525,Border Collie,NO,H
691,Jo-anne,98,Caniche,NO,H
693,Mufinella,213,Boxer,NO,H
694,Manon,549,Rottweiler,SI,H
695,Heda,375,Rottweiler,SI,H
696,Minnnie,229,Pug,NO,H
703,Field,621,Caniche,SI,H
704,Gustave,498,Boxer,NO,H
706,Tommy,163,Caniche,NO,H
708,Nataniel,67,Pug,SI,H
711,Obediah,449,Labrador,SI,H
713,Hugo,119,Caniche,SI,H
717,Smitty,657,Boxer,SI,H
718,Perry,140,Jack Russell,SI,H
719,Inna,471,Chihuahua,SI,H
723,Demetris,104,Boxer,SI,H
724,Charlene,592,Caniche,SI,H
725,Forster,531,Pitbull,SI,H
728,Norton,534,ChowChow,SI,H
733,Brod,723,Border Collie,NO,H
736,Chrystal,123,Pug,NO,H
741,Bogey,345,Ovejero,SI,H
742,Wyndham,612,Labrador,NO,H
743,Ralina,337,Boxer,SI,H
746,Donny,155,Bulldog,NO,H
748,Dalenna,521,Ovejero,NO,H
753,Myrwyn,182,Shih Tzu,SI,H
754,Roger,725,Boxer,SI,H
758,Alfredo,680,Boxer,SI,H
759,Ivie,706,Callejero,NO,H
761,Jodee,432,Shih Tzu,SI,H
762,Bevan,461,Chihuahua,NO,H
763,Marlow,676,Border Collie,SI,H
765,Logan,46,Boxer,SI,H
766,Winnie,543,Rottweiler,SI,H
767,Traver,238,Pug,NO,H
768,Sascha,287,Pitbull,NO,H
769,Thomasina,721,Boxer,NO,H
770,Clayton,614,Caniche,NO,H
772,Paolina,629,Labrador,SI,H
773,Bessie,649,Shih Tzu,NO,H
774,Truda,547,Callejero,NO,H
775,Briny,406,Chihuahua,SI,H
777,Marijo,458,Rottweiler,NO,H
778,Mendy,590,Coquer,NO,H
779,Rozamond,241,Pitbull,SI,H
780,Florri,202,ChowChow,SI,H
781,Laney,690,ChowChow,SI,H
783,Hailey,372,Caniche,SI,H
784,Karlotte,432,Bulldog,SI,H
785,Gaby,580,Jack Russell,NO,H
787,Evangeline,127,Labrador,SI,H
789,Sam,503,Coquer,NO,H
790,Lucie,591,Ovejero,SI,H
793,Lilah,123,Pug,SI,H
795,Matthias,367,Coquer,SI,H
797,Nichols,624,Chihuahua,NO,H
798,Errol,79,Caniche,NO,H
799,Jessamyn,682,Coquer,NO,H
800,Shoshanna,544,Shih Tzu,SI,H
801,Justin,355,Ovejero,SI,H
806,Reynolds,158,ChowChow,NO,H
807,Tera,214,Callejero,NO,H
810,Merilee,485,Pitbull,SI,H
811,Katalin,123,Chihuahua,SI,H
815,Yalonda,68,Rottweiler,NO,H
816,Roanne,721,Ovejero,NO,H
818,Larry,699,Ovejero,NO,H
819,Lira,257,Rottweiler,SI,H
822,Onida,100,ChowChow,NO,H
824,Juanita,616,ChowChow,SI,H
825,Averill,64,Bulldog,SI,H
826,Lanna,496,Labrador,SI,H
828,Carmine,724,Shih Tzu,NO,H
829,Damaris,462,Ovejero,SI,H
830,Lemuel,182,Pug,NO,H
831,Gaelan,159,Pitbull,SI,H
833,Cary,136,Callejero,NO,H
834,Ingrim,434,Chihuahua,NO,H
835,Bevvy,622,Chihuahua,NO,H
837,Skippie,674,Rottweiler,NO,H
838,Roy,483,Rottweiler,SI,H
841,Franciska,548,Rottweiler,SI,H
842,Tiffanie,116,Labrador,NO,H
843,Darla,216,Boxer,SI,H
844,Carla,137,Callejero,NO,H
845,Hildegarde,712,ChowChow,SI,H
847,Sidney,126,Caniche,SI,H
848,Cissiee,55,Caniche,SI,H
851,Wini,694,ChowChow,NO,H
855,Husein,119,Border Collie,NO,H
856,Mayer,353,Labrador,NO,H
858,Alisa,438,Border Collie,NO,H
860,Joellyn,210,Border Collie,NO,H
862,Biron,86,Chihuahua,SI,H
863,Gina,431,Coquer,NO,H
864,Barbara,164,Bulldog,NO,H
867,Ulises,647,Bulldog,SI,H
871,Ginevra,328,Bulldog,NO,H
874,Rosalia,318,Pitbull,NO,H
877,Charis,495,Shih Tzu,SI,H
879,Jarib,123,Pug,NO,H
882,Sauveur,173,Pitbull,SI,H
883,Abey,559,Boxer,SI,H
886,Barbra,664,Chihuahua,SI,H
888,Wilbur,487,Boxer,NO,H
889,Mallissa,107,Ovejero,SI,H
899,Cammy,221,Pug,SI,H
901,Hillary,316,Pug,NO,H
904,Lana,86,Rottweiler,SI,H
905,Fabien,107,Chihuahua,SI,H
907,Ferne,719,Rottweiler,NO,H
910,Dorian,606,Border Collie,NO,H
912,Terrel,657,Bulldog,SI,H
913,Doralynne,406,Labrador,SI,H
915,Joe,360,Pug,NO,H
916,Alisa,187,Bulldog,SI,H
919,Alverta,608,Shih Tzu,NO,H
921,Filip,194,Caniche,SI,H
922,Martina,509,Labrador,SI,H
929,Angie,128,Chihuahua,NO,H
930,Sherm,321,Callejero,NO,H
931,Gallagher,464,Caniche,SI,H
932,Orin,461,Callejero,SI,H
933,Josy,411,Boxer,SI,H
934,Nita,329,Coquer,NO,H
935,Angelita,612,Caniche,SI,H
940,Eloise,587,Coquer,SI,H
941,Justina,622,Ovejero,NO,H
942,Casi,276,Shih Tzu,SI,H
943,Ingaberg,710,Bulldog,SI,H
944,Sherry,237,Callejero,SI,H
945,Farris,428,Pug,NO,H
948,Fanchon,511,ChowChow,NO,H
950,Aprilette,659,Callejero,SI,H
952,Kaylee,478,Callejero,SI,H
954,Kimbell,83,Rottweiler,NO,H
955,Carolynn,672,Labrador,NO,H
956,Clarita,163,Caniche,SI,H
959,Pepillo,76,Border Collie,SI,H
960,Gayleen,68,Pitbull,NO,H
961,Karmen,372,Border Collie,SI,H
962,Cassandra,441,Boxer,NO,H
963,Dyanna,344,Pug,SI,H
964,Hogan,62,Ovejero,NO,H
966,Vanya,607,Coquer,NO,H
967,Gail,508,Border Collie,NO,H
971,Mikey,505,Jack Russell,SI,H
972,Christine,407,Coquer,NO,H
975,Simon,250,Ovejero,NO,H
976,Rube,711,Caniche,SI,H
977,Artemis,192,Jack Russell,SI,H
979,Trstram,647,Pitbull,SI,H
980,Hilary,307,Jack Russell,SI,H
982,Mellisa,133,Coquer,NO,H
983,Ignacio,603,Pitbull,SI,H
984,Lu,714,Boxer,SI,H
990,Ellswerth,411,Jack Russell,SI,H
992,Jesus,608,Caniche,NO,H
994,Allie,164,Bulldog,SI,H
995,Charil,292,Ovejero,SI,H
997,Rica,70,Pug,NO,H
998,Jammal,609,Rottweiler,NO,H
